NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
3	1	4	YES	0.0000687
3	1	4	YES	0.0000317
3	1	0	NO	0.0020088
3	1	5	YES	0.0000549
3	1	4	YES	0.0000388
3	1	4	YES	0.0000229
3	1	4	YES	0.0000207
3	1	4	YES	0.0000532
3	1	4	YES	0.0000333
3	1	4	YES	0.0000815
3	1	5	YES	0.0000716
3	1	5	YES	0.0000979
3	1	5	YES	0.0000547
3	1	0	NO	0.0019495
3	1	5	YES	0.0000575
3	1	4	YES	0.0000240
3	1	4	YES	0.0000575
3	1	4	YES	0.0000529
3	1	4	YES	0.0000308
3	1	5	YES	0.0000477
3	1	0	NO	0.0030807
3	1	5	YES	0.0000825
3	1	4	YES	0.0000343
3	1	4	YES	0.0000268
3	1	4	YES	0.0000397
3	1	4	YES	0.0000322
3	1	0	NO	0.0028202
3	1	0	NO	0.0033987
3	1	0	NO	0.0029872
3	1	4	YES	0.0000111
3	1	4	YES	0.0000201
3	1	0	NO	0.0031154
3	1	4	YES	0.0000209
3	1	4	YES	0.0000193
3	1	0	NO	0.0030223
3	1	4	YES	0.0000202
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
4	1	4	YES	0.0006151
4	1	4	YES	0.0001013
4	1	4	YES	0.0000922
4	1	4	YES	0.0000166
4	1	4	YES	0.0000343
4	1	4	YES	0.0000735
4	1	4	YES	0.0005746
4	1	4	YES	0.0000346
4	1	5	YES	0.0000738
4	1	4	YES	0.0006312
4	1	4	YES	0.0000617
4	1	4	YES	0.0000977
4	1	4	YES	0.0000952
4	1	4	YES	0.0000222
4	1	4	YES	0.0000396
4	1	4	YES	0.0000205
4	1	4	YES	0.0000342
4	1	4	YES	0.0000395
4	1	4	YES	0.0000287
4	1	4	YES	0.0000432
4	1	4	YES	0.0000302
4	1	4	YES	0.0000284
4	1	4	YES	0.0000174
4	1	4	YES	0.0000696
4	1	4	YES	0.0000294
4	1	4	YES	0.0001540
4	1	4	YES	0.0000763
4	1	4	YES	0.0000876
4	1	4	YES	0.0000466
4	1	4	YES	0.0001303
4	1	4	YES	0.0000448
4	1	4	YES	0.0000884
4	1	4	YES	0.0000327
4	1	4	YES	0.0000805
4	1	4	YES	0.0000305
4	1	4	YES	0.0000561
4	1	4	YES	0.0000682
4	1	4	YES	0.0000306
4	1	5	YES	0.0001816
4	1	4	YES	0.0000397
4	1	4	YES	0.0000506
4	1	4	YES	0.0000643
4	1	4	YES	0.0000698
4	1	4	YES	0.0000236
4	1	5	YES	0.0000837
4	1	4	YES	0.0000167
4	1	5	YES	0.0002788
4	1	4	YES	0.0001081
4	1	4	YES	0.0000645
4	1	4	YES	0.0000353
4	1	4	YES	0.0001141
4	1	4	YES	0.0000873
4	1	4	YES	0.0000449
4	1	4	YES	0.0000700
4	1	0	NO	0.0033972
4	1	4	YES	0.0000307
4	1	4	YES	0.0000845
4	1	4	YES	0.0000231
4	1	4	YES	0.0000289
4	1	0	NO	0.0027684
4	1	0	NO	0.0035941
4	1	0	NO	0.0033811
4	1	4	YES	0.0000138
4	1	4	YES	0.0000570
4	1	4	YES	0.0000141
4	1	4	YES	0.0000496
4	1	4	YES	0.0000689
4	1	4	YES	0.0000314
4	1	4	YES	0.0000290
4	1	4	YES	0.0000756
4	1	0	NO	0.0031645
4	1	4	YES	0.0000299
4	1	4	YES	0.0000632
4	1	0	NO	0.0055671
4	1	4	YES	0.0000729
4	1	4	YES	0.0000481
4	1	0	NO	0.0054131
